diputadoID,nombre,distrito
1,"#, Legislador a Designar",Buenos Aires
2,"#, Legislador a Designar",Cdad.Aut.Bs.As.
3,"#, Legislador a Designar",Chubut
4,"#, Legislador a Designar",Córdoba
5,"#, Legislador a Designar",San Juan
6,"#, Legislador a Designar",San Luis
7,"#, Legislador a Designar",Santa Cruz
8,"#, Legislador a Designar",Santa Fe
9,"#, Legislador a Designar",Santiago del Estero
10,"#, Legislador a Designar",Tucumán
11,"ABALOS, Roberto",Santiago del Estero
12,"ABALOVICH, Eduardo Antonio",Santiago del Estero
13,"ABAN, Gloria del S.",Salta
14,"ABASTO, Angel Leonidas",Buenos Aires
15,"ABDALA de MATARAZZO, Norma Amanda",Santiago del Estero
16,"ABDALA, Germán Darío",Cdad.Aut.Bs.As.
17,"ABDALA, Josefina",Mendoza
18,"ABELLA, Miguel Angel",Córdoba
19,"ABIHAGGLE, Carlos Enrique",Mendoza
20,"ABRAHAM, Alejandro",Mendoza
21,"ACCASTELLO, Eduardo",Córdoba
22,"ACCAVALLO, Julio César",Rio Negro
23,"ACEÑOLAZA, Florencio G.",Tucumán
24,"ACERENZA, Samanta María Celeste",Buenos Aires
25,"ACEVEDO, Sergio Edgardo",Santa Cruz
26,"ACHEM, Antonio",San Juan
27,"ACOSTA de AHUMADA, María Julia",Catamarca
28,"ACUÑA KUNZ, Juan",Santa Cruz
29,"ACUÑA, Hugo Rodolfo",Neuquén
30,"ADAIME, Felipe Teófilo",Corrientes
31,"AGOSTO, Walter",Santa Fe
32,"AGUAD, Oscar Raúl",Córdoba
33,"AGUADO, Jorge Ruben",Buenos Aires
34,"AGUERO, Elda Susana",Buenos Aires
35,"AGUILAR, Lino Walter",San Luis
36,"AGUIRRE de SORIA, Hilda",La Rioja
37,"AGUIRRE, Orlando Raul",Formosa
38,"AGUNDEZ, Jorge Alfreso",San Luis
39,"ALABI, Ernesto",Salta
40,"ALARCIA, Martha Carmen",Córdoba
41,"ALARCON, María del Carmen",Santa Fe
42,"ALBAMONTE, Alberto Gustavo",Buenos Aires
43,"ALBARRACIN, Jorge Luis",Mendoza
44,"ALBERTI, Juan Carlos",Buenos Aires
45,"ALBORNOZ, Gabriela Romina",Jujuy
46,"ALBRIEU, Oscar Edmundo Nicolas",Rio Negro
47,"ALBRISI, César Alfredo",Córdoba
48,"ALCALA, Nestor Ricardo",La Pampa
49,"ALCHOURON, Guillermo Eduardo",Buenos Aires
50,"ALCUAZ, Horacio Alberto",Buenos Aires
51,"ALEGRE, Gilberto",Buenos Aires
52,"ALENDE, Oscar Eduardo",Buenos Aires
53,"ALESANDRI, Carlos Tomas",Córdoba
54,"ALESSANDRO, Dario Pedro",Cdad.Aut.Bs.As.
55,"ALFARO, Germán Enrique",Tucumán
56,"ALFONSIN, Ricardo Luis",Buenos Aires
57,"ALGABA, Ernesto Pedro",Santa Fe
58,"ALIZEGUI, Antonio Anibal",Entre Ríos
59,"ALLENDE IRIARTE, Alberto",Cdad.Aut.Bs.As.
60,"ALLENDE, Alfredo Estanislao",Buenos Aires
61,"ALONSO, Gumersindo Federico",Córdoba
62,"ALONSO, Horacio Fernando",Buenos Aires
63,"ALONSO, Laura",Cdad.Aut.Bs.As.
64,"ALONSO, María Luz",La Pampa
66,"ALTERACH, Miguel Angel",Misiones
67,"ALVAREZ ECHAGUE, Raul A.",Buenos Aires
68,"ALVAREZ GARCIA, Normando",Jujuy
69,"ALVAREZ RODRIGUEZ, Cristina",Buenos Aires
70,"ALVAREZ, Carlos Alberto",Cdad.Aut.Bs.As.
71,"ALVAREZ, Carlos Raúl",Buenos Aires
72,"ALVAREZ, Elsa María",Santa Cruz
73,"ALVAREZ, Hector Claudio",Misiones
74,"ALVAREZ, Jorge Mario",Santa Fe
75,"ALVAREZ, Juan José",Buenos Aires
76,"ALVAREZ, Roque Tobías",Tucumán
77,"ALVARO, Héctor Jorge",Mendoza
78,"AMADEO, Eduardo Pablo",Buenos Aires
79,"AMENTA, Marcelo Eduardo",Buenos Aires
80,"AMSTUTZ, Guillermo",Mendoza
81,"ANAUATE, Carlos Alfredo",Santiago del Estero
82,"ANCARANI, Hilda Norma",Buenos Aires
83,"ANTELO, José María",Santa Fe
84,"ARAGON, Santiago",Buenos Aires
85,"ARAGONES de JUAREZ, Mercedes",Santiago del Estero
86,"ARAMBURU, Guillermo Raul",Santa Fe
87,"ARANDA, Saturnino Dantti",Santa Fe
88,"ARBO, José Ameghino",Corrientes
89,"ARDID, Mario Rolando",Córdoba
90,"ARENA, Celia Isabel",Santa Fe
91,"ARENAS, Berta",San Luis
92,"ARETA, María Josefa",Corrientes
93,"ARGÜELLO, Jorge",Cdad.Aut.Bs.As.
94,"ARGÜELLO, Octavio",Buenos Aires
95,"ARGUL, Marta del Carmen",Jujuy
96,"ARGUMEDO, Alcira Susana",Cdad.Aut.Bs.As.
97,"ARIAS, Cesar",Buenos Aires
98,"ARMENDARIZ, Alejandro",Buenos Aires
99,"ARNALDI, Monica Susana",Buenos Aires
100,"ARNOLD, Eduardo Ariel",Santa Cruz
101,"ARRECHEA, José Salvador",Chubut
102,"ARREGUI, Andrés Roberto",Buenos Aires
103,"ARRIAGA, Julio Esteban",Rio Negro
104,"ARRIETA, Gustavo",Buenos Aires
105,"ARTOLA, Isabel Amanda",Buenos Aires
106,"ASEF, Daniel Edgardo",Córdoba
107,"ASPIAZU, Lucio Bernardo",Corrientes
108,"ASSEFF, Alberto Emilio",Buenos Aires
109,"ATANASOF, Alfredo Néstor",Buenos Aires
110,"AUBIA, Jorge Eduardo",Chubut
111,"AUGSBURGER, Silvia",Santa Fe
112,"AUSTIN, Brenda Lis",Córdoba
113,"AVALOS ROBLES, Edmundo Eduardo",Tucumán
114,"AVELIN de GINESTAR, Nancy B.",San Juan
115,"AVILA, Eduardo Carlos",Santiago del Estero
116,"AVOSCAN, Herman Horacio",Rio Negro
117,"AYALA, Juan Carlos",Chaco
118,"AYALA, Susana Beatriz",Chaco
119,"AYETZ, Liliana",Buenos Aires
120,"AZCOITI, Pedro José",Buenos Aires
121,"BAGLINI, Raúl Eduardo",Mendoza
122,"BAIGORRI, Guillermo Francisco",San Juan
123,"BAIGORRIA, Miguel Angel",Tierra del Fuego
124,"BALADRON, Manuel Justo",La Pampa
125,"BALBO, Elva Susana",Mendoza
126,"BALCEDO, María Ester",Buenos Aires
127,"BALDASSI, Héctor",Córdoba
128,"BALDATA, Griselda Angela",Córdoba
129,"BALESTRA, René Helvecio",Santa Fe
130,"BALESTRINI, Alberto",Buenos Aires
131,"BALESTRINI, Miguel Alberto",Córdoba
132,"BALIAN, Alejandro",Córdoba
133,"BALTER, Carlos Mario",Mendoza
134,"BALTUZZI, Angel Enzo",Santa Fe
135,"BANFI, Karina",Buenos Aires
136,"BANZAS de MOREAU, María del Cármen",Buenos Aires
137,"BARAGIOLA, Vilma Rosana",Buenos Aires
138,"BARBAGELATA, María Elena",Cdad.Aut.Bs.As.
139,"BARBERA, Eliseo",Salta
140,"BARBERIS, Edgardo Angel",Santa Fe
141,"BARBIERI, Mario Leandro",Buenos Aires
142,"BARBOTTI, Atilio",Chaco
143,"BARCHETTA, Omar Segundo",Santa Fe
144,"BARDEGGIA, Luis Maria",Rio Negro
145,"BARLETTA, Mario Domingo",Santa Fe
146,"BARRANDEGUY, Raúl Enrique",Entre Ríos
147,"BARRETO, Jorge Rubén",Entre Ríos
148,"BARRIONUEVO, Eduardo Ernesto",Salta
149,"BARRIONUEVO, José Luis",Catamarca
150,"BARRIOS ARRECHEA, Ricardo A.",Misiones
151,"BARRIOS, Luis Américo",La Rioja
152,"BARRIOS, Miguel Angel",Santa Fe
153,"BARTOLUCCI, Gilda Liliana",San Luis
154,"BASILE, Daniel Armando",Buenos Aires
155,"BASSANI, Angel Marcelo",Buenos Aires
156,"BASTEIRO, Sergio Ariel",Buenos Aires
157,"BASTERRA, Luis Eugenio",Formosa
158,"BASUALDO, Roberto",San Juan
159,"BAUM, Daniel",Neuquén
160,"BAYLAC, Juan Pablo",Buenos Aires
161,"BAYONZO, Liliana Amelia",Chaco
162,"BAZZE, Miguel Ángel",Buenos Aires
163,"BECCANI, Alberto Juan",Santa Fe
164,"BECERRA, Carlos Armando",Córdoba
165,"BECERRA, Nicolas Eduardo",Mendoza
166,"BECERRA, Omar Enrique",Tierra del Fuego
167,"BEDANO, Nora Esther",Córdoba
168,"BEJARANO, Mario Fernando",Formosa
169,"BELLOCQ, Gerardo Alberto",Córdoba
170,"BELOUS, Nélida",Tierra del Fuego
171,"BELTRAN, Carlos Roberto",Chaco
172,"BENAS, Verónica Claudia",Santa Fe
173,"BENEDETTI, Atilio Francisco Salvador",Entre Ríos
174,"BENEDETTI, Jorge Enrique",Cdad.Aut.Bs.As.
175,"BENZI, María Cristina",Santa Fe
176,"BERCOFF, María Graciela",Córdoba
177,"BERGMAN, Sergio",Cdad.Aut.Bs.As.
178,"BERHONGARAY, Antonio Tomás",La Pampa
179,"BERICUA, Jorge",Tierra del Fuego
180,"BERMEJO, Sixto Osvaldo",Chubut
181,"BERMUDEZ, María del Pilar",Jujuy
182,"BERNABEY, Ramón Ernesto",Córdoba
183,"BERNAL, María Eugenia",Jujuy
184,"BERNAZZA, Claudia Alicia",Buenos Aires
185,"BERRAUTE, Ana",Santa Fe
186,"BERTOL, Paula María",Cdad.Aut.Bs.As.
187,"BERTOLYOTTI, Delma Noemí",Entre Ríos
188,"BERTONE, Rosana Andrea",Tierra del Fuego
189,"BESADA, Alicia Irma",Cdad.Aut.Bs.As.
190,"BETTANIN, Juan Carlos",Santa Fe
191,"BEVACQUA, Adriana Norma",Entre Ríos
192,"BEVERAGGI, Margarita Beatriz",Chaco
193,"BEVILACQUA, Gustavo José",Buenos Aires
194,"BIANCHI SILVESTRE, Marcela Alejandra",Buenos Aires
195,"BIANCHI, Ivana María",San Luis
196,"BIANCHI, María del Carmen",Cdad.Aut.Bs.As.
197,"BIANCO, Lía Fabiola",Misiones
198,"BIANCULLI, Leticia",Buenos Aires
199,"BIDEGAIN, Gloria Mercedes",Buenos Aires
